"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2008","Number","29668"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2009","Number","15899"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2010","Number","21338"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2011","Number","21730"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2012","Number","33"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2002","Number","14900"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2003","Number","13904"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2004","Number","27824"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2005","Number","42240"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2006","Number","49926"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2007","Number","43980"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2008","Number","26897"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2009","Number","13977"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2010","Number","16639"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2011","Number","22417"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2012","Number","24790"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2013","Number","75"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2012","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2002","Number","14486"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2003","Number","13544"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2004","Number","26747"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2005","Number","40666"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2006","Number","48084"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2007","Number","42137"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2008","Number","25184"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2009","Number","12791"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2010","Number","14580"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2011","Number","17906"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2012","Number","26020"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2013","Number","28885"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2014","Number","63"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2013","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2002","Number","14421"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2003","Number","13459"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2004","Number","26473"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2005","Number","40197"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2006","Number","47452"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2007","Number","41428"
