"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2013","Number","20726"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2014","Number","26830"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2015","Number","33077"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2016","Number","51396"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2017","Number","57461"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2018","Number","190"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2002","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2003","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2004","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2005","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2006","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2007","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2008","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2009","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2013","Number","19541"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2014","Number","24696"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2015","Number","29344"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2016","Number","42090"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2017","Number","57399"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2018","2018","Number","64930"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2002","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2003","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2004","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2005","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2006","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2007","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2008","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2009","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2019","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2002","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2003","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2004","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2005","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2006","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2020","2007","Number",""
